品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
三星,三星Galaxy S23 Ultra（12GB/256GB),8667,高通 骁龙8 Gen2 for Galaxy （4nm）,12,256,45,5000,120,2,233,1200,20000,6.8
三星,三星Galaxy S23 Ultra（12GB/512GB),9556,高通 骁龙8 Gen2 for Galaxy （4nm）,12,512,45,5000,120,2,233,1200,20000,6.8
三星,三星Galaxy S23 Ultra（12GB/1TB),11723,高通 骁龙8 Gen2 for Galaxy （4nm）,12,1024,45,5000,120,2,233,1200,20000,6.8
三星,三星Galaxy S23+（8GB/256GB),4999,高通 骁龙8 Gen2 for Galaxy （4nm）,8,256,45,4700,120,1,195,1200,5000,6.6
三星,三星Galaxy S23+（8GB/512GB）,5399,高通 骁龙8 Gen2 for Galaxy （4nm）,8,512,45,4700,120,1,195,1200,5000,6.6
三星,三星Galaxy S23（8GB/128GB）,3449,高通 骁龙8 Gen2 for Galaxy （4nm）,8,128,25,3900,120,1,168,1200,5000,6.1
三星,三星Galaxy S23（8GB/256GB）,4399,高通 骁龙8 Gen2 for Galaxy （4nm）,8,256,25,3900,120,1,168,1200,5000,6.1
三星,三星Galaxy S23（8GB/512GB）,6499,高通 骁龙8 Gen2 for Galaxy （4nm）,8,512,25,3900,120,1,168,1200,5000,6.1
三星,三星Galaxy Z Fold5（12GB/512GB）,12999,高通 骁龙8 Gen2 for Galaxy （4nm）,12,512,25,4400,120,2,253,1000,5000,7.6
三星,三星Galaxy Z Fold5（12GB/1TB）,14999,高通 骁龙8 Gen2 for Galaxy （4nm）,12,1024,25,4400,120,2,253,1000,5000,7.6
三星,三星Galaxy Z Fold5（12GB/512GB/Thom Browne限量版）,29888,高通 骁龙8 Gen2 for Galaxy （4nm）,12,512,25,4400,120,2,253,1000,5000,7.6
三星,三星Galaxy Z Fold5（12GB/1TB/Thom Browne限量版）,39999,高通 骁龙8 Gen2 for Galaxy （4nm）,12,1024,25,4400,120,2,253,1000,5000,7.6
三星,三星Galaxy Z Flip5（8GB/256GB）,7499,高通 骁龙8 Gen2 for Galaxy （4nm）,8,256,25,3700,120,1,187,1000,1200,6.7
三星,三星Galaxy Z Flip5（8GB/512GB）,8499,高通 骁龙8 Gen2 for Galaxy （4nm）,8,512,25,3700,120,1,187,1000,1200,6.7
三星,三星Galaxy A54（8GB/128GB）,3299,三星 Exynos 1380,8,128,22,5000,120,1,202,3200,6400,6.4
三星,三星Galaxy A54（8GB/256GB）,3599,三星 Exynos 1380,8,256,22,5000,120,1,202,3200,6400,6.4
三星,三星Galaxy S23 FE,无,高通 骁龙8 Gen2 for Galaxy （4nm）,8,128,25,4500,120,1,168,1200,5000,6.4
三星,三星W25,无,高通 骁龙8 Gen2 for Galaxy （4nm）,16,512,25,4400,120,2,280,1000,1200,7.6
三星,三星W25 Flip,无,高通 骁龙8 Gen2 for Galaxy （4nm）,12,512,25,3700,120,1,187,1000,1200,6.7
三星,三星Galaxy M34,无,三星 Exynos 1280,8,128,22,6000,120,1,202,3200,5000,6.46
三星,三星Galaxy F54,无,三星 Exynos 1380,8,128,25,6000,120,1,199,3200,10.8,6.7
荣耀,荣耀X50（8GB/128GB）,1329,高通 骁龙6 Gen1,8,128,35,5800,120,1k,185,800,10800,6.78
荣耀,荣耀X50（8GB/256GB）,1529,高通 骁龙6 Gen1,8,256,35,5800,120,1k,185,800,10800,6.78
荣耀,荣耀X50（12GB/256GB）,1579,高通 骁龙6 Gen1,12,256,35,5800,120,1k,185,800,10800,6.78
荣耀,荣耀X50（16GB/512GB）,1799,高通 骁龙6 Gen1,16,512,35,5800,120,1k,185,800,10800,6.78
荣耀,荣耀90（12GB/256GB）,2199,高通 骁龙7 Gen1,12,256,66,5000,120,1k,183,5000,20000,6.7
荣耀,荣耀90（16GB/256GB）,2399,高通 骁龙7 Gen1,16,256,66,5000,120,1k,183,5000,20000,6.7
荣耀,荣耀90（16GB/512GB）,2599,高通 骁龙7 Gen1,16,512,66,5000,120,1k,183,5000,20000,6.7
荣耀,荣耀90 Pro（12GB/256GB）,3099,高通 骁龙8+ Gen1,12,256,90,5000,120,1k,192,5000,20000,6.78
荣耀,荣耀90 Pro（16GB/256GB）,2599,高通 骁龙8+ Gen1,16,256,90,5000,120,1k,192,5000,20000,6.78
荣耀,荣耀90 Pro（16GB/512GB）,2599,高通 骁龙8+ Gen1,16,512,90,5000,120,1k,192,5000,20000,6.78
荣耀,荣耀Magic5（8GB/256GB）,3499,高通 骁龙8 Gen2,8,256,66,5100,120,1k,191,1200,5400,6.73
荣耀,荣耀Magic5（12GB/256GB）,3599,高通 骁龙8 Gen2,12,256,66,5100,120,1k,191,1200,5400,6.73
荣耀,荣耀Magic5（16GB/256GB）,4199,高通 骁龙8 Gen2,16,256,66,5100,120,1k,191,1200,5400,6.73
荣耀,荣耀Magic5（16GB/512GB）,4449,高通 骁龙8 Gen2,16,512,66,5100,120,1k,191,1200,5400,6.73
荣耀,荣耀Magic5 Pro（8GB/256GB）,4549,高通 骁龙8 Gen2,8,256,66,5450,120,1k,219,1200,5000,6.81
荣耀,荣耀Magic5 Pro（12GB/256GB）,5049,高通 骁龙8 Gen2,12,256,66,5450,120,1k,219,1200,5000,6.81
荣耀,荣耀Magic5 Pro（16GB/512GB）,5099,高通 骁龙8 Gen2,16,512,66,5450,120,1k,219,1200,5000,6.81
荣耀,荣耀X50i（8GB/256GB）,1499,联发科 天玑6020,8,256,35,4500,90,1k,179,800,10000,6.7
荣耀,荣耀X50i（12GB/256GB）,1599,联发科 天玑6020,12,256,35,4500,90,1k,179,800,10000,6.7
荣耀,荣耀80 GT（12GB/256GB）,2349,高通 骁龙8+ Gen1,12,256,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀80 GT（16GB/256GB）,3099,高通 骁龙8+ Gen1,16,256,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀80 GT（12GB/512GB）,3049,高通 骁龙8+ Gen1,12,512,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀畅玩40（6GB/128GB）,1399,高通 骁龙480 Plus,6,128,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀畅玩40（8GB/128GB）,1599,高通 骁龙480 Plus,8,128,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀畅玩40（8GB/256GB）,1799,高通 骁龙480 Plus,8,256,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀Magic5 Pro至臻版（16GB/512GB）,5999,高通 骁龙8 Gen2,16,512,66,5450,120,1k,217,1200,5000,6.81
荣耀,荣耀Play7T（8GB/128GB）,1099,联发科 天玑6020,8,128,22.5,6000,90,0.5k,196,500,5000,6.74
荣耀,荣耀Play7T（8GB/256GB）,1299,联发科 天玑6020,8,256,22.5,6000,90,0.5k,196,500,5000,6.74
荣耀,荣耀80 Pro 直屏版（12GB/256GB）,3599,高通 骁龙8+ Gen1,12,256,66,4800,120,1k,186,3200,16000,6.78
荣耀,荣耀80 Pro 三体动画限量版（12GB/512GB）,4099,高通 骁龙8+ Gen1,12,512,66,4800,120,1k,188,5000,16000,6.78
荣耀,荣耀Play7T Pro（8GB/128GB）,999,联发科 天玑6020,8,128,40,4000,90,1k,175,500,5000,6.7
荣耀,荣耀Play7T Pro（8GB/256GB）,1128,联发科 天玑6020,8,256,40,4000,90,1k,175,500,5000,6.7
荣耀,荣耀V Purse （16GB/256GB）,5999,高通 骁龙778G,16,256,35,4500,120,2k,214,800,5000,7.71
荣耀,荣耀V Purse （16GB/512GB）,6599,高通 骁龙778G,16,256,35,4500,120,2k,214,800,5000,7.71
iqoo,iQOO Z8(8GB/256GB),1599,联发科 天玑8200,8,256,120,5000,120,1,200,6400,1600,6.64
iqoo,iQOO Z8(12GB/256GB),1799,联发科 天玑8200,12,256,120,5000,120,1,200,6400,1600,6.64
